,Concorde,,Christofides,,Best-Bound,,Depth-First,,
,Tempo (ms),Tamanho,Tempo (ms),Tamanho,Tempo (ms),Tamanho,Tempo (ms),Tamanho,
Random_5_1,,,15,31.242773,7,31.242773,6,31.242773,
Random_5_2,,,0,40.022293,0,33.059063,0,33.05906,
Random_5_3,,,0,38.485878,0,33.944855,0,33.944855,
Random_5_4,,,0,25.498371,0,25.209341,0,25.209341,
Random_5_5,,,0,32.074184,0,32.074184,0,32.074184,
Random_10_1,20,76.14054,0,96.2251,1,76.14054,6,76.14054,
Random_10_2,10,95.443054,0,131.3379,1,95.443054,5,95.443054,
Random_10_3,40,93.54776,0,103.747894,11,93.54776,3,93.54776,
Random_10_4,50,75.363106,0,83.809166,2,75.363106,6,75.363106,
Random_10_5,40,98.99447,0,123.479706,2,98.99447,4,98.99447,
Random_15_1,40,129.60391,0,171.0755,43,129.60391,1108,129.60391,
Random_15_2,40,143.8595,0,184.68097,1683,143.8595,5888,143.8595,
Random_15_3,10,119.49745,0,143.54787,36,119.49747,2522,119.49745,
Random_15_4,40,173.73964,0,206.9506,1306,173.73964,30184,173.73964,
Random_15_5,40,167.92032,0,216.2416,170,167.92032,6144,167.92032,
Random_20_1,40,227,0,280.46216,,,7400257,227.16943,
Random_20_2,40,194,0,240.77484,,,7747055,195.0712,
Random_20_3,120,263,0,332.05585,,,36530944,261.71887,
Random_20_4,180,227,0,301.0564,,,,,
Random_20_5,70,257,0,316.90524,,,,,
Random_25_1,40,324,0,407.48126,,,,,
Random_25_2,10,333,0,439.5573,,,,,
Random_25_3,160,299,0,393.8095,,,,,
Random_25_4,50,331,0,405.667,,,,,
Random_25_5,120,316,0,400.12726,,,,,
Random_30_1,230,423,0,557.42487,,,,,
Random_30_2,130,413,0,545.20605,,,,,
Random_30_3,60,403,0,559.7915,,,,,
Random_30_4,80,405,0,543.6313,,,,,
Random_30_5,80,383,0,471.7738,,,,,
Random_35_1,70,537,0,711.07916,,,,,
Random_35_2,70,459,0,644.09436,,,,,
Random_35_3,40,496,0,727.2379,,,,,
Random_35_4,450,534,0,662.61505,,,,,
Random_35_5,330,508,0,677.6345,,,,,
Random_40_1,40,627,0,852.44806,,,,,
Random_40_2,200,644,0,734.5739,,,,,
Random_40_3,60,578,0,768.0887,,,,,
Random_40_4,220,667,0,898.75214,,,,,
Random_40_5,240,622,0,778.82446,,,,,
Random_45_1,200,722,0,939.9242,,,,,
Random_45_2,100,734,0,1030.7433,,,,,
Random_45_3,360,764,1,1040.9368,,,,,
Random_45_4,200,704,0,868.27167,,,,,
Random_45_5,120,744,0,1046.7611,,,,,
Random_50_1,100,827,0,1067.0463,,,,,
Random_50_2,1180,886,0,1186.7428,,,,,
Random_50_3,250,839,1,1037.9685,,,,,
Random_50_4,440,802,0,998.61554,,,,,
Random_50_5,240,926,0,1307.7191,,,,,
Random_55_1,50,1062,0,1315.6244,,,,,
Random_55_2,360,1020,0,1402.8478,,,,,
Random_55_3,160,982,0,1314.1008,,,,,
Random_55_4,80,891,0,1207.5242,,,,,
Random_55_5,250,914,0,1221.3616,,,,,
Random_60_1,390,1109,0,1535.8392,,,,,
Random_60_2,240,1162,1,1576.0137,,,,,
Random_60_3,200,1107,0,1541.4958,,,,,
Random_60_4,110,1156,0,1583.3567,,,,,
Random_60_5,290,1034,0,1302.5621,,,,,
Random_65_1,380,1317,0,1582.5043,,,,,
Random_65_2,200,1274,0,1729.2029,,,,,
Random_65_3,230,1309,0,1758.5245,,,,,
Random_65_4,480,1266,0,1768.6582,,,,,
Random_65_5,190,1247,0,1595.366,,,,,
Random_70_1,340,1442,2,2013.3236,,,,,
Random_70_2,190,1314,0,1744.0206,,,,,
Random_70_3,60,1330,0,1791.3923,,,,,
Random_70_4,530,1381,0,1873.444,,,,,
Random_70_5,290,1366,0,1820.4467,,,,,
Random_75_1,670,1523,1,2157.5923,,,,,
Random_75_2,160,1559,0,2159.1465,,,,,
Random_75_3,240,1465,0,2085.6887,,,,,
Random_75_4,440,1584,1,2240.905,,,,,
Random_75_5,590,1516,0,2006.1818,,,,,
Random_80_1,750,1718,1,2184.5283,,,,,
Random_80_2,400,1707,2,2411.4963,,,,,
Random_80_3,140,1625,1,2106.1875,,,,,
Random_80_4,510,1765,1,2435.4429,,,,,
Random_80_5,150,1583,1,2095.9722,,,,,
Random_85_1,1110,1870,1,2423.544,,,,,
Random_85_2,1750,1829,1,2614.927,,,,,
Random_85_3,440,1884,2,2535.2385,,,,,
Random_85_4,440,1794,1,2546.5857,,,,,
Random_85_5,130,1867,1,2728.5059,,,,,
Random_90_1,220,1942,1,2664.4429,,,,,
Random_90_2,1250,2042,1,2817.0813,,,,,
Random_90_3,6340,2078,1,2621.5122,,,,,
Random_90_4,2120,2024,1,2654.707,,,,,
Random_90_5,2840,2058,1,2754.4133,,,,,
Random_95_1,1930,2147,2,2975.1963,,,,,
Random_95_2,2630,2187,1,3012.002,,,,,
Random_95_3,830,2105,1,2773.6272,,,,,
Random_95_4,500,2098,1,3064.4653,,,,,
Random_95_5,370,2258,1,3133.8794,,,,,
Random_100_1,240,2369,9,3127.5085,,,,,
Random_100_2,720,2329,1,3310.2415,,,,,
Random_100_3,1100,2433,1,3254.5112,,,,,
Random_100_4,300,2277,1,3135.4204,,,,,
Random_100_5,680,2417,18,3157.3037,,,,,
